code,in_time,out_time
601012,2017-12-11,
601016,2015-12-14,2016-12-12
601018,2011-07-01,
601021,2015-06-15,
601066,2018-12-17,
601077,2020-06-15,
601088,2007-10-23,
601098,2011-07-01,2016-12-12
601099,2010-01-04,2011-07-01
601099,2012-01-04,2014-06-16
601099,2015-06-15,2018-12-17
601100,2020-06-15,
601101,2011-01-04,2014-06-16
601106,2015-06-15,2016-12-12
601106,2011-01-04,2014-06-16
601107,2010-01-04,2012-01-04
601108,2018-06-11,
601111,2007-01-04,
601117,2017-06-12,
601117,2010-07-01,2016-12-12
601118,2011-07-01,2018-06-11
601127,2016-12-12,2017-12-11
601138,2018-12-17,
601139,2013-07-01,2014-12-15
601139,2010-07-01,2011-07-01
601155,2016-12-12,
601158,2011-01-04,2016-06-13
601162,2019-06-17,
601163,2017-06-12,2018-06-11
601166,2007-02-26,
601168,2008-01-02,2015-12-14
601169,2008-01-02,
601179,2014-06-16,2016-12-12
601179,2010-07-01,2013-07-01
601186,2009-01-05,
601198,2015-12-14,
601211,2015-12-14,
601212,2017-12-11,
601216,2014-06-16,
601216,2012-01-04,2013-07-01
601225,2014-06-16,
601228,2017-12-11,2019-12-16
601229,2017-06-12,
601231,2013-12-16,2016-06-13
601231,2020-06-15,
601233,2012-01-04,2013-07-01
601236,2019-12-16,
601238,2015-12-14,2016-06-13
