pair_id,cash_inflow,order_time
1209.0,2.0,2019-07-09 19:59:00
1211.0,-4.0,2019-07-09 20:01:00
1213.0,-8.0,2019-07-09 20:02:00
1215.0,-3.0,2019-07-09 20:03:00
1217.0,-4.0,2019-07-09 20:08:00
1219.0,-5.0,2019-07-09 20:17:00
1221.0,15.0,2019-07-09 20:40:00
1223.0,5.0,2019-07-09 20:52:00
1225.0,-8.0,2019-07-09 21:03:00
1227.0,6.0,2019-07-09 21:12:00
1229.0,1.0,2019-07-09 21:13:00
1231.0,7.0,2019-07-09 21:29:00
1233.0,31.0,2019-07-09 21:42:00
1235.0,-4.0,2019-07-09 21:49:00
1237.0,25.0,2019-07-09 22:13:00
1239.0,9.0,2019-07-09 22:23:00
1241.0,3.0,2019-07-09 22:26:00
1243.0,-4.0,2019-07-09 22:28:00
1245.0,17.0,2019-07-09 22:44:00
1247.0,-1.0,2019-07-09 22:50:00
1249.0,-6.0,2019-07-09 22:54:00
1251.0,-4.0,2019-07-09 23:06:00
1253.0,-11.0,2019-07-09 23:12:00
1255.0,-14.0,2019-07-09 23:17:00
1257.0,4.0,2019-07-09 23:28:00
1259.0,4.0,2019-07-09 23:35:00
1261.0,-2.0,2019-07-09 23:37:00
1263.0,-10.0,2019-07-09 23:41:00
1265.0,7.0,2019-07-10 00:03:00
1267.0,-10.0,2019-07-10 00:14:00
1269.0,-7.0,2019-07-10 00:19:00
1271.0,5.0,2019-07-10 00:31:00
