code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-05 18:53:00,-29431.0,1
HK_FUTURE.999010,2019-07-05 19:09:00,28145.0,-1
HK_FUTURE.999010,2019-07-05 19:11:00,-29431.0,1
HK_FUTURE.999010,2019-07-05 19:13:00,28145.0,-1
HK_FUTURE.999010,2019-07-05 19:14:00,-29437.0,1
HK_FUTURE.999010,2019-07-05 19:15:00,28141.0,-1
HK_FUTURE.999010,2019-07-05 19:16:00,-29439.0,1
HK_FUTURE.999010,2019-07-05 19:23:00,28131.0,-1
HK_FUTURE.999010,2019-07-05 19:38:00,-29445.0,1
HK_FUTURE.999010,2019-07-05 19:49:00,28129.0,-1
HK_FUTURE.999010,2019-07-05 20:19:00,-29375.0,1
HK_FUTURE.999010,2019-07-05 20:23:00,28115.0,-1
HK_FUTURE.999010,2019-07-05 20:29:00,-29395.0,1
HK_FUTURE.999010,2019-07-05 20:32:00,28021.0,-1
HK_FUTURE.999010,2019-07-05 20:52:00,-29285.0,1
HK_FUTURE.999010,2019-07-05 20:56:00,27957.0,-1
HK_FUTURE.999010,2019-07-05 21:01:00,-29309.0,1
HK_FUTURE.999010,2019-07-05 21:05:00,27933.0,-1
HK_FUTURE.999010,2019-07-05 21:17:00,-29283.0,1
HK_FUTURE.999010,2019-07-05 21:27:00,27971.0,-1
HK_FUTURE.999010,2019-07-05 21:30:00,-29287.0,1
HK_FUTURE.999010,2019-07-05 21:41:00,28015.0,-1
HK_FUTURE.999010,2019-07-05 21:51:00,-29271.0,1
HK_FUTURE.999010,2019-07-05 21:56:00,27995.0,-1
HK_FUTURE.999010,2019-07-05 22:07:00,-29251.0,1
HK_FUTURE.999010,2019-07-05 22:16:00,28019.0,-1
HK_FUTURE.999010,2019-07-05 22:19:00,-29243.0,1
HK_FUTURE.999010,2019-07-05 22:22:00,28003.0,-1
HK_FUTURE.999010,2019-07-05 22:51:00,-29167.0,1
HK_FUTURE.999010,2019-07-05 23:00:00,28023.0,-1
HK_FUTURE.999010,2019-07-05 23:04:00,-29171.0,1
HK_FUTURE.999010,2019-07-05 23:07:00,28041.0,-1
